date,game_time,event_id,competition_id,provider_id,provider_name,home_team,away_team,home_abbr,away_abbr,home_moneyline,away_moneyline,home_price_basis,away_price_basis,home_run_line,away_run_line,total_line,over_odds,under_odds,odds_items_count
2025-03-29,23:15,401694941,401694941,58,ESPN BET,Houston Astros,New York Mets,HOU,NYM,-120.0,100.0,close,close,0.0,1.5,8.5,-130.0,110.0,2
2025-03-29,23:15,401694942,401694942,58,ESPN BET,San Diego Padres,Atlanta Braves,SD,ATL,130.0,-155.0,close,close,0.0,-1.5,8.5,105.0,-125.0,2
2025-03-29,00:10,401694943,401694943,58,ESPN BET,Arizona Diamondbacks,Chicago Cubs,ARI,CHC,-125.0,105.0,close,close,0.0,1.5,8.5,-125.0,105.0,2
2025-03-29,01:10,401694944,401694944,58,ESPN BET,Los Angeles Dodgers,Detroit Tigers,LAD,DET,-200.0,165.0,close,close,0.0,1.5,7.5,-105.0,-115.0,2
2025-03-29,01:40,401694945,401694945,58,ESPN BET,Seattle Mariners,Athletics,SEA,ATH,-160.0,135.0,close,close,0.0,1.5,7.5,115.0,-135.0,2
2025-03-30,17:35,401694948,401694948,58,ESPN BET,New York Yankees,Milwaukee Brewers,NYY,MIL,-150.0,125.0,close,close,0.0,1.5,8.5,100.0,-120.0,2
2025-03-30,17:35,401694949,401694949,58,ESPN BET,Washington Nationals,Philadelphia Phillies,WSH,PHI,115.0,-135.0,close,close,0.0,-1.5,8.5,-125.0,105.0,2
2025-03-30,17:37,401694946,401694946,58,ESPN BET,Toronto Blue Jays,Baltimore Orioles,TOR,BAL,-135.0,115.0,close,close,0.0,1.5,8.5,-125.0,105.0,2
2025-03-30,17:40,401694947,401694947,58,ESPN BET,Tampa Bay Rays,Colorado Rockies,TB,COL,-190.0,160.0,close,close,0.0,1.5,7.5,-115.0,-105.0,2
2025-03-30,17:40,401694950,401694950,58,ESPN BET,Miami Marlins,Pittsburgh Pirates,MIA,PIT,-120.0,100.0,close,close,0.0,-1.5,7.5,-110.0,-110.0,2
