date,season,possessions,total_line,team,opponent,is_home,team_score,opp_score,spread,team_eFG,team_TO,team_ORB,team_FTR,team_3PR,opp_eFG,opp_TO,opp_ORB,opp_FTR,opp_3PR
2023-11-06,2024,75.875,90.0,Arkansas Pine Bluff,Missouri,0,79,101,20.8,47.368421052631575,21.087314662273478,28.947368421052634,54.385964912280706,50.877192982456144,65.625,17.1334431630972,37.93103448275862,29.6875,46.875
2023-11-06,2024,75.875,90.0,Missouri,Arkansas Pine Bluff,1,101,79,-20.8,65.625,17.1334431630972,37.93103448275862,29.6875,46.875,47.368421052631575,21.087314662273478,28.947368421052634,54.385964912280706,50.877192982456144
2023-11-06,2024,61.900000000000006,,Portland St.,Air Force,0,62,55,4.1,43.0,19.38610662358643,35.8974358974359,57.99999999999999,54.0,46.0,19.38610662358643,25.0,38.0,50.0
2023-11-06,2024,61.900000000000006,,Air Force,Portland St.,1,55,62,-4.1,46.0,19.38610662358643,25.0,38.0,50.0,43.0,19.38610662358643,35.8974358974359,57.99999999999999,54.0
2023-11-06,2024,68.36250000000001,96.0,The Citadel,N.C. State,0,59,72,22.5,43.39622641509434,20.479063814225633,26.31578947368421,45.28301886792453,32.075471698113205,52.307692307692314,13.165112452002193,23.684210526315788,10.76923076923077,43.07692307692308
2023-11-06,2024,68.36250000000001,96.0,N.C. State,The Citadel,1,72,59,-22.5,52.307692307692314,13.165112452002193,23.684210526315788,10.76923076923077,43.07692307692308,43.39622641509434,20.479063814225633,26.31578947368421,45.28301886792453,32.075471698113205
2023-11-06,2024,72.7125,96.0,Central Michigan,Oklahoma,0,59,89,20.4,39.0625,23.379749011517966,32.55813953488372,20.3125,32.8125,65.0,17.87863159704315,20.0,60.0,40.0
2023-11-06,2024,72.7125,96.0,Oklahoma,Central Michigan,1,89,59,-20.4,65.0,17.87863159704315,20.0,60.0,40.0,39.0625,23.379749011517966,32.55813953488372,20.3125,32.8125
2023-11-06,2024,71.45,,Brown,Colgate,0,70,72,4.4,46.15384615384615,19.59412176347096,33.33333333333333,33.84615384615385,49.23076923076923,51.85185185185185,16.794961511546536,18.181818181818183,40.74074074074074,35.18518518518518
2023-11-06,2024,71.45,,Colgate,Brown,1,72,70,-4.4,51.85185185185185,16.794961511546536,18.181818181818183,40.74074074074074,35.18518518518518,46.15384615384615,19.59412176347096,33.33333333333333,33.84615384615385,49.23076923076923
2023-11-06,2024,75.6875,,Bradley,UAB,0,73,71,-0.7,51.724137931034484,22.46077621800165,22.857142857142858,27.586206896551722,51.724137931034484,35.810810810810814,14.53344343517754,40.0,39.189189189189186,25.675675675675674
2023-11-06,2024,75.6875,,UAB,Bradley,1,71,73,0.7,35.810810810810814,14.53344343517754,40.0,39.189189189189186,25.675675675675674,51.724137931034484,22.46077621800165,22.857142857142858,27.586206896551722,51.724137931034484
2023-11-06,2024,76.2125,,Nicholls St.,Tulane,0,81,91,10.4,56.25,23.618172871904214,37.5,31.25,43.75,56.92307692307692,11.809086435952107,24.324324324324326,35.38461538461539,46.15384615384615
2023-11-06,2024,76.2125,,Tulane,Nicholls St.,1,91,81,-10.4,56.92307692307692,11.809086435952107,24.324324324324326,35.38461538461539,46.15384615384615,56.25,23.618172871904214,37.5,31.25,43.75
2023-11-06,2024,77.5625,95.0,FIU,UCF,0,62,85,21.5,40.42553191489361,30.942788074133766,27.27272727272727,68.08510638297872,38.297872340425535,55.64516129032258,23.207091055600323,38.23529411764706,37.096774193548384,38.70967741935484
2023-11-06,2024,77.5625,95.0,UCF,FIU,1,85,62,-21.5,55.64516129032258,23.207091055600323,38.23529411764706,37.096774193548384,38.70967741935484,40.42553191489361,30.942788074133766,27.27272727272727,68.08510638297872,38.297872340425535
2023-11-06,2024,81.07499999999999,105.0,Houston Christian,BYU,0,63,110,41.9,45.83333333333333,18.501387604070306,2.564102564102564,26.666666666666668,26.666666666666668,56.547619047619044,11.100832562442186,46.666666666666664,21.428571428571427,51.19047619047619
2023-11-06,2024,81.07499999999999,105.0,BYU,Houston Christian,1,110,63,-41.9,56.547619047619044,11.100832562442186,46.666666666666664,21.428571428571427,51.19047619047619,45.83333333333333,18.501387604070306,2.564102564102564,26.666666666666668,26.666666666666668
2023-11-06,2024,72.25,92.0,Illinois Chicago,Cincinnati,0,58,69,16.0,45.0,20.761245674740483,17.142857142857142,11.666666666666666,26.666666666666668,45.52238805970149,12.45674740484429,25.0,19.402985074626866,37.3134328358209
2023-11-06,2024,72.25,92.0,Cincinnati,Illinois Chicago,1,69,58,-16.0,45.52238805970149,12.45674740484429,25.0,19.402985074626866,37.3134328358209,45.0,20.761245674740483,17.142857142857142,11.666666666666666,26.666666666666668
2023-11-06,2024,72.8125,97.0,Robert Morris,Xavier,0,63,77,25.5,37.28813559322034,19.2274678111588,25.0,37.28813559322034,30.508474576271187,60.71428571428571,23.34763948497854,26.923076923076923,23.214285714285715,19.642857142857142
2023-11-06,2024,72.8125,97.0,Xavier,Robert Morris,1,77,63,-25.5,60.71428571428571,23.34763948497854,26.923076923076923,23.214285714285715,19.642857142857142,37.28813559322034,19.2274678111588,25.0,37.28813559322034,30.508474576271187
2023-11-06,2024,65.0,,Maine,Charlotte,0,52,69,12.1,38.88888888888889,12.307692307692308,15.789473684210526,35.18518518518518,44.44444444444444,60.46511627906976,21.53846153846154,9.523809523809524,48.837209302325576,39.53488372093023
2023-11-06,2024,65.0,,Charlotte,Maine,1,69,52,-12.1,60.46511627906976,21.53846153846154,9.523809523809524,48.837209302325576,39.53488372093023,38.88888888888889,12.307692307692308,15.789473684210526,35.18518518518518,44.44444444444444
2023-11-06,2024,75.7875,90.0,Elon,Wake Forest,0,78,101,28.3,55.932203389830505,14.514266864588487,9.67741935483871,27.11864406779661,38.983050847457626,63.07692307692307,14.514266864588487,32.142857142857146,32.30769230769231,40.0
2023-11-06,2024,75.7875,90.0,Wake Forest,Elon,1,101,78,-28.3,63.07692307692307,14.514266864588487,32.142857142857146,32.30769230769231,40.0,55.932203389830505,14.514266864588487,9.67741935483871,27.11864406779661,38.983050847457626
2023-11-06,2024,67.19999999999999,,Boston University,Northeastern,0,58,67,7.6,48.24561403508772,20.833333333333336,19.444444444444446,10.526315789473683,42.10526315789473,49.056603773584904,17.85714285714286,18.181818181818183,33.9622641509434,35.84905660377358
2023-11-06,2024,67.19999999999999,,Northeastern,Boston University,1,67,58,-7.6,49.056603773584904,17.85714285714286,18.181818181818183,33.9622641509434,35.84905660377358,48.24561403508772,20.833333333333336,19.444444444444446,10.526315789473683,42.10526315789473
2023-11-06,2024,66.8125,97.0,American,Villanova,0,63,90,23.2,41.12903225806452,16.46398503274088,27.906976744186046,25.806451612903224,48.38709677419355,62.71186440677966,10.47708138447147,34.48275862068966,32.20338983050847,45.76271186440678
2023-11-06,2024,66.8125,97.0,Villanova,American,1,90,63,-23.2,62.71186440677966,10.47708138447147,34.48275862068966,32.20338983050847,45.76271186440678,41.12903225806452,16.46398503274088,27.906976744186046,25.806451612903224,48.38709677419355
2023-11-06,2024,81.5375,,Hampton,Howard,0,80,92,9.2,58.03571428571429,20.849302468189485,6.25,37.5,50.0,65.625,25.755020695998777,17.391304347826086,75.0,37.5
2023-11-06,2024,81.5375,,Howard,Hampton,1,92,80,-9.2,65.625,25.755020695998777,17.391304347826086,75.0,37.5,58.03571428571429,20.849302468189485,6.25,37.5,50.0
2023-11-06,2024,66.975,,Marist,Army,0,71,55,-5.2,55.35714285714286,11.944755505785743,18.75,32.142857142857146,30.357142857142854,47.72727272727273,26.875699888017916,20.0,54.54545454545454,47.72727272727273
2023-11-06,2024,66.975,,Army,Marist,1,55,71,5.2,47.72727272727273,26.875699888017916,20.0,54.54545454545454,47.72727272727273,55.35714285714286,11.944755505785743,18.75,32.142857142857146,30.357142857142854
2023-11-06,2024,71.8125,95.0,Detroit Mercy,Toledo,0,60,94,21.5,59.57446808510638,32.02785030461271,12.0,21.27659574468085,42.5531914893617,60.65573770491803,12.532637075718014,30.303030303030305,40.98360655737705,32.78688524590164
