team,net_team,match_source,match_score,needs_review
Richmond Spiders,Richmond,alias_exact,1.0,False
Rider Broncs,Rider,alias_exact,1.0,False
Ripon College Red Hawks,,unmatched,0.0,True
Robert Morris Colonials,Robert Morris,alias_exact,1.0,False
Rochester Christian Warriors,,unmatched,0.0,True
Roosevelt Lakers,,unmatched,0.0,True
Rust College Bearcats,,unmatched,0.0,True
Rutgers Scarlet Knights,Rutgers,alias_exact,1.0,False
SE Louisiana Lady Lions,,unmatched,0.0,True
SIU Edwardsville Cougars,SIUE,alias_exact,1.0,False
SMU Mustangs,SMU,alias_exact,1.0,False
SUNY Delhi Broncos,,unmatched,0.0,True
SUNY Geneseo Knights,,unmatched,0.0,True
SUNY-New Paltz Hawks,,unmatched,0.0,True
Sacramento State Hornets,Sacramento St.,alias_exact,1.0,False
Sacred Heart Pioneers,Sacred Heart,alias_exact,1.0,False
Saint Francis Red Flash,Saint Francis,alias_exact,1.0,False
Saint Joseph's Hawks,Saint Joseph's,alias_exact,1.0,False
Saint Louis Billikens,Saint Louis,alias_exact,1.0,False
Saint Martin's Saints,,unmatched,0.0,True
Saint Mary's (MN) Cardinals,,unmatched,0.0,True
Saint Mary's Gaels,,unmatched,0.0,True
Saint Mary-Of-The-Woods College Pomeroys,,unmatched,0.0,True
Saint Peter's Peacocks,Saint Peter's,alias_exact,1.0,False
Salem University Tigers,,unmatched,0.0,True
Sam Houston Bearkats,Sam Houston,alias_exact,1.0,False
Samford Bulldogs,Samford,alias_exact,1.0,False
San Diego State Aztecs,San Diego St.,alias_exact,1.0,False
San Diego Toreros,San Diego,alias_exact,1.0,False
San Francisco Dons,San Francisco,alias_exact,1.0,False
San Francisco State Gators,San Francisco,alias_exact,1.0,False
San José State Spartans,San Jose St.,alias_fuzzy,0.9091,False
Santa Clara Broncos,Santa Clara,alias_exact,1.0,False
Scranton Royals,,unmatched,0.0,True
Seattle U Redhawks,Seattle U,alias_exact,1.0,False
Seton Hall Pirates,Seton Hall,alias_exact,1.0,False
Sewanee Tigers,,unmatched,0.0,True
Shaw Bears,,unmatched,0.0,True
Siena Saints,Siena,alias_exact,1.0,False
Simmons College (KY) Falcons,,unmatched,0.0,True
Simpson University (CA) Red Hawks,,unmatched,0.0,True
Slippery Rock The Rock,,unmatched,0.0,True
South Alabama Jaguars,South Alabama,alias_exact,1.0,False
South Carolina Gamecocks,South Carolina,alias_exact,1.0,False
South Carolina State Lady Bulldogs,,unmatched,0.0,True
South Carolina Upstate Spartans,South Carolina,alias_exact,1.0,False
South Dakota Coyotes,South Dakota,alias_exact,1.0,False
South Dakota Mines Hardrockers,South Dakota,alias_exact,1.0,False
South Dakota State Jackrabbits,South Dakota St.,alias_exact,1.0,False
South Florida Bulls,South Fla.,alias_exact,1.0,False
Southeast Missouri State Redhawks,,unmatched,0.0,True
Southeastern Fires,,unmatched,0.0,True
Southern Arkansas Muleriders,,unmatched,0.0,True
Southern Illinois Salukis,Southern Ill.,alias_exact,1.0,False
Southern Indiana Screaming Eagles,Southern Ind.,alias_exact,1.0,False
Southern Jaguars,,unmatched,0.0,True
Southern Miss Lady Eagles,Southern Miss.,alias_exact,1.0,False
Southern Utah Thunderbirds,Southern Utah,alias_exact,1.0,False
Southern Wesleyan Warriors,,unmatched,0.0,True
Southern-New Orleans Knights,,unmatched,0.0,True
St. Anselm Hawks,,unmatched,0.0,True
St. Bonaventure Bonnies,St. Bonaventure,alias_exact,1.0,False
St. Francis (IL) Fighting Saints,,unmatched,0.0,True
St. John's Red Storm,St. John's (NY),fuzzy,0.9565,False
St. Joseph's Brookyn Bears,Saint Joseph's,alias_exact,1.0,False
St. Mary's (MD) Seahawks,,unmatched,0.0,True
St. Mary's (TX) Rattlers,,unmatched,0.0,True
St. Thomas (TX) Celts,St. Thomas (MN),alias_contains,0.8571,False
St. Thomas-Minnesota Tommies,St. Thomas (MN),alias_exact,1.0,False
Stanford Cardinal,Stanford,alias_exact,1.0,False
