team,net_team,match_source,match_score,needs_review
Georgia Tech Yellow Jackets,Georgia Tech,alias_exact,1.0,False
Georgian Court University Lions,,unmatched,0.0,True
Gonzaga Bulldogs,Gonzaga,alias_exact,1.0,False
Grambling Lady Tigers,,unmatched,0.0,True
Grand Canyon Lopes,Grand Canyon,alias_exact,1.0,False
Green Bay Phoenix,Green Bay,alias_exact,1.0,False
Gwynedd-Mercy Griffins,,unmatched,0.0,True
Hampton Lady Pirates,,unmatched,0.0,True
Harris-Stowe State Hornets,,unmatched,0.0,True
Harvard Crimson,Harvard,alias_exact,1.0,False
Haskell Jayhawks,,unmatched,0.0,True
Hawai'i Hilo Vulcans,,unmatched,0.0,True
Hawai'i Rainbow Wahine,,unmatched,0.0,True
Health Sciences & Pharmacy Eutectics,,unmatched,0.0,True
Heidelberg Student Princes,,unmatched,0.0,True
Hendrix College Warriors,,unmatched,0.0,True
Hesston Larks,,unmatched,0.0,True
High Point Panthers,High Point,alias_exact,1.0,False
Hofstra Pride,Hofstra,alias_exact,1.0,False
Holy Cross Crusaders,Holy Cross,alias_exact,1.0,False
Hope International Royals,,unmatched,0.0,True
Houston Christian Huskies,Houston Christian,alias_exact,1.0,False
Houston Cougars,Houston,alias_exact,1.0,False
Howard Bison,Howard,alias_exact,1.0,False
Huston-Tillotson Rams,,unmatched,0.0,True
IU Columbus Crimson Pride,,unmatched,0.0,True
IU Indianapolis Jaguars,IU Indy,alias_exact,1.0,False
Idaho State Bengals,Idaho St.,alias_exact,1.0,False
Idaho Vandals,Idaho,alias_exact,1.0,False
Illinois Fighting Illini,Illinois,alias_exact,1.0,False
Illinois State Redbirds,Illinois St.,alias_exact,1.0,False
Incarnate Word Cardinals,UIW,alias_exact,1.0,False
Indiana Hoosiers,Indiana,alias_exact,1.0,False
Indiana State Sycamores,Indiana St.,alias_exact,1.0,False
Indiana University East Red Wolves,,unmatched,0.0,True
Indiana-Southeast Grenadiers,,unmatched,0.0,True
Iona Gaels,Iona,alias_exact,1.0,False
Iowa Hawkeyes,Iowa,alias_exact,1.0,False
Iowa State Cyclones,Iowa St.,alias_exact,1.0,False
Ithaca College Bombers,,unmatched,0.0,True
Jackson State Lady Tigers,Jackson St.,alias_exact,1.0,False
Jacksonville Dolphins,Jacksonville,alias_exact,1.0,False
Jacksonville State Gamecocks,Jacksonville St.,alias_exact,1.0,False
James Madison Dukes,James Madison,alias_exact,1.0,False
Jarvis Christian Bulldogs,,unmatched,0.0,True
Johns Hopkins University Blue Jays,,unmatched,0.0,True
Johnson & Wales (NC) Wildcats,,unmatched,0.0,True
Johnson University (TN) Royals,,unmatched,0.0,True
Judson University Eagles,,unmatched,0.0,True
Kansas City Roos,Kansas City,alias_exact,1.0,False
Kansas Jayhawks,Kansas,alias_exact,1.0,False
Kansas State Wildcats,Kansas St.,alias_exact,1.0,False
Kean Cougars,,unmatched,0.0,True
Kennesaw State Owls,Kennesaw St.,alias_exact,1.0,False
Kent State Golden Flashes,Kent St.,alias_exact,1.0,False
Kentucky Christian Knights,,unmatched,0.0,True
Kentucky State Thorobreds,,unmatched,0.0,True
Kentucky Wildcats,Kentucky,alias_exact,1.0,False
King (TN) Tornado,,unmatched,0.0,True
Kings (PA) Monarchs,,unmatched,0.0,True
LSU Alexandria Generals,,unmatched,0.0,True
LSU Tigers,LSU,alias_exact,1.0,False
La Salle Explorers,La Salle,alias_exact,1.0,False
La Sierra Golden Eagles,,unmatched,0.0,True
LaGrange Panthers,,unmatched,0.0,True
Lafayette Leopards,Lafayette,alias_exact,1.0,False
Lamar Cardinals,Lamar University,alias_exact,1.0,False
Langston Lions,,unmatched,0.0,True
Le Moyne Dolphins,Le Moyne,alias_exact,1.0,False
LeTourneau Yellow Jackets,,unmatched,0.0,True
Lees-McRae Bobcats,,unmatched,0.0,True
Lehigh Mountain Hawks,,unmatched,0.0,True
Lehman College Lightning,,unmatched,0.0,True
Liberty Flames,Liberty,alias_exact,1.0,False
Life Pacific Warriors,,unmatched,0.0,True
Life University Running Eagles,,unmatched,0.0,True
Lincoln (PA) Lions,,unmatched,0.0,True
Lindenwood Lions,Lindenwood,alias_exact,1.0,False
Lindsey Wilson LINDSEY WILSON,,unmatched,0.0,True
Lipscomb Bisons,Lipscomb,alias_exact,1.0,False
Little Rock Trojans,Little Rock,alias_exact,1.0,False
Livingstone Blue Bears,,unmatched,0.0,True
Long Beach State Beach,Long Beach St.,alias_exact,1.0,False
Long Island University Sharks,LIU,alias_exact,1.0,False
Longwood Lancers,Longwood,alias_exact,1.0,False
Louisiana Christian Wildcats,,unmatched,0.0,True
Louisiana Ragin' Cajuns,Louisiana,alias_exact,1.0,False
Louisiana Tech Lady Techsters,Louisiana Tech,alias_exact,1.0,False
Louisville Cardinals,Louisville,alias_exact,1.0,False
Lourdes University LOURDES,,unmatched,0.0,True
Loyola Chicago Ramblers,Loyola Chicago,alias_exact,1.0,False
Loyola Maryland Greyhounds,Loyola Maryland,alias_exact,1.0,False
Loyola Marymount Lions,LMU (CA),alias_exact,1.0,False
Loyola New Orleans Wolfpack,,unmatched,0.0,True
Lyon Scots,,unmatched,0.0,True
MSU Denver Roadrunners,,unmatched,0.0,True
Maine Black Bears,,unmatched,0.0,True
Maine-Fort Kent Bengals,,unmatched,0.0,True
Manhattan Jaspers,Manhattan,alias_exact,1.0,False
Marist Red Foxes,,unmatched,0.0,True
Marquette Golden Eagles,Marquette,alias_exact,1.0,False
Mars Hill Mountain Lions,,unmatched,0.0,True
Marshall Thundering Herd,,unmatched,0.0,True
Maryland Eastern Shore Hawks,UMES,alias_exact,1.0,False
Maryland Terrapins,Maryland,alias_exact,1.0,False
Marywood Pacers,,unmatched,0.0,True
Massachusetts Minutewomen,Massachusetts,alias_exact,1.0,False
Mayville State Comets,,unmatched,0.0,True
McMurry War Hawks,,unmatched,0.0,True
McNeese Cowgirls,McNeese,alias_exact,1.0,False
Memphis Tigers,Memphis,alias_exact,1.0,False
Mercer Bears,Mercer,alias_exact,1.0,False
Mercy Mavericks,,unmatched,0.0,True
Mercyhurst Lakers,Mercyhurst,alias_exact,1.0,False
