date,picked_team,picked_spread,conf,pick_correct
2025-12-06,Oregon,9.0,0.6225958180926026,False
2025-12-06,Northern Illinois,17.9,0.5814961548580584,False
2025-12-07,Towson,16.1,0.5407339894851595,False
2025-12-07,Fairfield,4.3,0.584629675913253,False
2025-12-07,Florida Atlantic,-2.7,0.5331357785924078,True
2025-12-07,Weber St.,11.9,0.5933174065481268,False
2025-12-07,UNLV,9.6,0.5448111120976231,True
2025-12-07,Saint Francis,14.1,0.5513981042420872,False
2025-12-07,Southern Indiana,14.7,0.5543215909454686,False
2025-12-07,Manhattan,13.1,0.5462281127138799,True
2025-12-07,Northwestern St.,6.5,0.5488975647184798,True
2025-12-07,Central Michigan,32.9,0.5525091324521587,False
2025-12-07,Rider,20.5,0.6029781109821327,True
2025-12-07,Saint Mary's,-6.4,0.5709961708828701,True
2025-12-07,Illinois Chicago,14.7,0.5484651456849179,True
2025-12-07,Georgetown,16.1,0.532607294787909,False
2025-12-07,Alabama St.,5.9,0.5625849590048587,False
2025-12-07,SMU,-1.0,0.5755431885657238,True
2025-12-07,Central Connecticut,9.1,0.5435048528668869,False
2025-12-07,Canisius,15.6,0.5644829153468058,False
2025-12-07,Alabama A&M,12.2,0.6157139438246371,False
2025-12-07,Central Arkansas,-2.0,0.5981521093407616,False
2025-12-07,Texas Tech,-2.2,0.5724402237426407,True
2025-12-07,Austin Peay,2.5,0.5439515578247041,False
2025-12-07,Nevada,-4.2,0.6058489050666671,True
2025-12-07,Green Bay,11.3,0.5818150182705779,False
2025-12-07,UTSA,41.0,0.5775780826987338,False
2025-12-07,Samford,2.5,0.5586500546643138,True
2025-12-08,Grambling St.,6.6,0.5320132672351348,False
2025-12-08,South Carolina St.,19.8,0.5330730906316234,False
2025-12-08,Lafayette,11.3,0.551944314484349,True
2025-12-08,Southern,22.4,0.57844539831334,False
2025-12-09,Illinois,-3.7,0.617074681367032,True
2025-12-09,VMI,-5.1,0.5513348348359821,True
2025-12-09,Rider,0.6,0.5476707233517625,False
2025-12-09,Villanova,19.6,0.5838806953471076,False
2025-12-09,Ball St.,4.0,0.5329029682577978,False
2025-12-09,Maryland Eastern Shore,32.8,0.55349452054723,True
2025-12-09,Coppin St.,25.8,0.5424566491956208,True
2025-12-09,South Dakota,19.4,0.5774480397019814,False
2025-12-09,Brown,17.2,0.5793714025560859,True
2025-12-09,Buffalo,-1.8,0.5351384851326391,True
2025-12-09,Little Rock,24.5,0.5327044128432132,False
2025-12-09,Northern Arizona,20.3,0.5859424448060672,False
2025-12-09,McNeese St.,-1.8,0.5895900079892489,True
2025-12-09,Morgan St.,27.3,0.5374628879671184,False
2025-12-09,Howard,-2.6,0.5835824724358009,True
2025-12-09,Dartmouth,16.9,0.5840028769283443,False
2025-12-09,Penn St.,20.9,0.5827189542416185,False
2025-12-10,Jackson St.,37.2,0.5526163015404912,False
2025-12-10,Eastern Kentucky,1.3,0.5475066822995944,True
2025-12-10,Cal St. Northridge,-3.1,0.5636732501210486,False
2025-12-10,Delaware,22.4,0.5711901746433993,True
2025-12-10,Fairleigh Dickinson,16.5,0.5664682831546809,False
2025-12-10,Boston College,1.1,0.5521888730711009,False
2025-12-10,Maine,10.2,0.5968173430741431,True
2025-12-10,Western Kentucky,1.8,0.5306460676718785,False
2025-12-10,Albany,16.6,0.5532910796899256,True
2025-12-10,Merrimack,3.2,0.5466737978886944,True
2025-12-10,Minnesota,16.8,0.5645285036842993,False
2025-12-10,Eastern Michigan,0.5,0.6584041153138789,False
2025-12-10,New Mexico,5.7,0.5326374393896007,True
2025-12-10,Norfolk St.,27.4,0.5464466280688584,False
2025-12-10,Wisconsin,8.4,0.5384410370976056,False
2025-12-10,New Haven,2.3,0.5469061106591087,False
2025-12-10,N.C. State,-14.5,0.5486006851939348,True
2025-12-10,Idaho St.,13.7,0.6301675157313843,True
2025-12-10,Boise St.,-13.4,0.544174845764406,True
2025-12-10,Idaho,11.1,0.566142579254022,False
2025-12-10,Lamar,18.4,0.5762181521581947,True
2025-12-10,Bryant,14.9,0.5639496071761542,True
2025-12-10,Arkansas Pine Bluff,27.7,0.5393406791202527,False
2025-12-11,Saint Joseph's,15.0,0.5442282719725179,True
2025-12-11,North Dakota St.,-7.5,0.5859293255217537,True
2025-12-11,Western Carolina,23.9,0.5309939909241554,True
2025-12-11,Iowa,7.2,0.5871418739696457,True
2025-12-11,UT Arlington,3.0,0.5919796461501646,True
2025-12-12,Missouri St.,10.8,0.577791981000249,False
2025-12-12,Army,7.0,0.5592333890691261,True
2025-12-12,Cal Baptist,-4.4,0.5909677819534565,True
2025-12-12,South Carolina St.,19.0,0.5380298000725785,False
2025-12-12,Texas,15.1,0.5687766147099196,True
2025-12-12,East Texas A&M,22.6,0.5425123599230062,False
2025-12-12,Maryland Eastern Shore,6.4,0.5395879896327329,True
2025-12-13,Evansville,18.9,0.5760119923066715,False
2025-12-13,Old Dominion,16.3,0.5719131206180549,True
2025-12-13,Montana St.,2.1,0.5594257063128135,False
2025-12-13,Hofstra,6.9,0.5469874630074975,True
2025-12-13,Mercer,19.2,0.5398043827828528,True
2025-12-13,Oklahoma,0.1,0.5644940140372365,True
2025-12-13,Cincinnati,5.6,0.5670495948038776,False
2025-12-13,Florida St.,-3.6,0.5614164875617658,False
2025-12-13,Stanford,-6.1,0.5427438483949929,False
2025-12-13,Maryland,21.5,0.541876679357544,True
2025-12-13,Hampton,-0.6,0.5372645347573544,False
2025-12-13,UC Santa Barbara,9.9,0.5836865047539055,False
2025-12-13,Illinois Chicago,15.5,0.5871481292166058,True
2025-12-13,Alabama,2.6,0.5607089124520226,False
2025-12-13,Sacred Heart,-0.9,0.5419225916330263,True
2025-12-13,Albany,20.9,0.5395851048906906,False
2025-12-13,UTSA,22.6,0.5306469316778689,False
2025-12-13,Boston University,7.5,0.5437031007963755,False
2025-12-13,Mississippi St.,-2.0,0.5468725708786792,True
2025-12-13,Northern Kentucky,-0.1,0.6185093668058581,True
2025-12-13,Ohio,5.9,0.592894153723221,True
2025-12-13,Kansas,0.2,0.5380083861304872,True
2025-12-13,West Georgia,1.8,0.541352508114293,False
2025-12-13,Northwestern,-26.4,0.538962369784741,True
2025-12-13,Oakland,10.5,0.5302397044271635,False
2025-12-13,Central Connecticut,-5.7,0.5541008550539941,True
2025-12-13,Central Michigan,9.6,0.5672721562463328,False
2025-12-13,Manhattan,10.7,0.5779661374719741,False
2025-12-13,Pepperdine,1.5,0.5457294692734409,True
2025-12-13,Delaware St.,10.0,0.5371733438997868,True
2025-12-13,Coastal Carolina,16.6,0.5364827367790845,False
2025-12-13,Auburn,-18.2,0.5682877152700876,False
2025-12-13,Louisiana,9.7,0.6104091333153269,False
2025-12-13,UTEP,15.5,0.5573776484173882,True
2025-12-13,St. Thomas,-4.8,0.5358874488874424,True
2025-12-13,Memphis,14.9,0.5440465756576609,False
2025-12-13,Tulane,8.6,0.5524711961517124,False
2025-12-13,UMass Lowell,17.5,0.5633150019552944,True
2025-12-13,North Dakota St.,1.2,0.639372917654493,True
2025-12-13,New Mexico St.,5.8,0.6077844124750378,False
2025-12-13,Arkansas St.,-2.6,0.5991815156905982,False
2025-12-13,Pittsburgh,9.3,0.553902205732568,False
2025-12-13,Southern Illinois,5.3,0.5623021440801027,False
2025-12-13,Rutgers,16.6,0.5504460732214154,False
2025-12-13,Canisius,0.6,0.6387365721411558,True
2025-12-13,Cal St. Northridge,-1.4,0.5998559282465686,True
2025-12-13,Marist,-6.0,0.5543606206329994,True
2025-12-13,Prairie View A&M,6.7,0.5584433461925038,False
2025-12-13,La Salle,5.7,0.6163066324849802,False
2025-12-13,Mount St. Mary's,-1.5,0.5587653482803223,True
2025-12-13,Michigan St.,-11.6,0.5627696432732103,False
2025-12-14,North Texas,1.1,0.5665933405390764,True
2025-12-14,Temple,-21.8,0.5426988595379053,True
2025-12-14,Florida Gulf Coast,14.6,0.604885740462064,False
2025-12-14,Chicago St.,5.1,0.5638514294985058,True
2025-12-14,Washington St.,17.2,0.574323253438226,True
2025-12-14,Iowa St.,-36.5,0.6214989474652524,False
2025-12-14,East Carolina,3.4,0.5654010736755061,True
2025-12-14,Kent St.,-1.9,0.5909840641825892,False
2025-12-14,Maryland Eastern Shore,25.6,0.5732801613573622,False
2025-12-14,Charlotte,2.9,0.5515530289635766,False
2025-12-14,Coppin St.,24.1,0.5345902742703854,False
2025-12-14,Texas Southern,19.2,0.56396435876619,False
2025-12-14,Detroit Mercy,2.8,0.6443034126477782,False
2025-12-15,McNeese St.,-8.8,0.5897450871624763,True
2025-12-15,Incarnate Word,14.7,0.5531811692175816,True
2025-12-15,Niagara,31.5,0.5482341552839931,True
2025-12-15,Wofford,-9.1,0.5474201863676009,True
2025-12-15,South Dakota St.,5.7,0.5614780048529835,False
2025-12-15,North Alabama,2.1,0.5771672654687143,False
2025-12-16,Florida St.,9.1,0.6077220327192914,False
2025-12-16,East Tennessee St.,18.8,0.5480979662667731,False
2025-12-16,Butler,15.4,0.6058881359244799,False
2025-12-16,South Carolina St.,7.3,0.5548377594491981,True
2025-12-16,Sacred Heart,4.2,0.611748975943567,False
2025-12-16,Howard,3.3,0.5346854573778719,True
2025-12-16,Valparaiso,15.1,0.5863727934161735,False
2025-12-16,Pacific,20.7,0.5666247147937096,False
2025-12-16,Canisius,17.9,0.5508944146631621,True
2025-12-16,Rider,8.2,0.5909751794226223,True
2025-12-16,North Carolina A&T,6.8,0.6321140187550194,True
2025-12-16,Toledo,24.3,0.5442542097277958,True
2025-12-16,FIU,19.1,0.5642033966925062,True
2025-12-16,Towson,23.4,0.5784322673466645,False
2025-12-16,Tennessee,-2.7,0.5561936312137025,True
2025-12-16,Southern,11.0,0.5394490189364818,True
2025-12-16,Dartmouth,-1.5,0.6203362703697577,True
2025-12-16,DePaul,17.8,0.5606449169119019,True
2025-12-16,Northern Colorado,20.1,0.5621950344429799,True
2025-12-16,Loyola Marymount,-0.4,0.5363908981123727,False
2025-12-16,LIU,13.6,0.5932559410949501,True
2025-12-17,Wofford,14.7,0.5387744756814302,True
2025-12-17,Arkansas St.,-3.1,0.5303304021745426,True
2025-12-17,Memphis,8.6,0.5473890045723389,True
2025-12-17,South Florida,18.5,0.5746795994932428,True
2025-12-17,Creighton,-3.1,0.6308477644215498,True
2025-12-17,Siena,1.2,0.5825458103856455,False
2025-12-17,Chattanooga,2.3,0.6401031817661056,False
2025-12-17,UC Santa Barbara,1.5,0.624996648279581,False
2025-12-17,Presbyterian,2.8,0.5423206579832738,False
2025-12-17,Alabama St.,21.5,0.5404456611971181,False
2025-12-17,Portland,18.2,0.5412186722549548,False
2025-12-17,Sam Houston St.,2.1,0.6136005416594189,True
2025-12-17,South Alabama,-6.8,0.5781455525248873,False
2025-12-17,Jacksonville,4.5,0.5653084553638412,False
2025-12-17,Stonehill,6.0,0.5460365011380106,True
2025-12-17,UT Arlington,12.0,0.5665115203589821,False
2025-12-17,The Citadel,17.7,0.5585694674880457,True
2025-12-17,Cleveland St.,22.4,0.5424182231701791,False
2025-12-17,Portland St.,12.0,0.5681041019761705,True
2025-12-17,Louisiana Tech,1.9,0.5863298090481464,False
2025-12-17,Bethune Cookman,26.3,0.5537563583361065,False
2025-12-17,Arizona St.,10.8,0.5483484615329672,False
2025-12-17,Maryland Eastern Shore,9.0,0.5652862429185466,False
2025-12-17,UC Davis,0.8,0.542287816186218,False
2025-12-17,Longwood,24.8,0.5496226918915534,True
2025-12-17,Houston Christian,5.7,0.5601691128881763,False
2025-12-17,Air Force,24.3,0.5473970704815514,True
2025-12-17,Mercyhurst,22.2,0.5612226382449532,True
2025-12-17,Alabama A&M,13.4,0.5492582123365228,False
2025-12-17,Saint Francis,41.8,0.5605995675278865,True
2025-12-17,Oakland,-0.5,0.5464247201976971,True
2025-12-17,Albany,8.0,0.599808810852154,True
2025-12-17,Weber St.,17.8,0.5796619752426444,True
2025-12-17,Mercer,16.7,0.5355131605198957,False
2025-12-18,Temple,6.4,0.538668113200125,True
2025-12-18,Western Illinois,15.2,0.5820738360983382,False
2025-12-18,Coastal Carolina,4.9,0.5354917724957797,False
2025-12-18,Bradley,-0.4,0.5566658180310952,True
2025-12-18,Lafayette,12.4,0.5434865980269317,False
2025-12-18,Delaware St.,15.8,0.5729220064830631,False
2025-12-18,Fairfield,1.8,0.6125554326285827,True
2025-12-18,Pepperdine,3.2,0.5766368557077413,True
2025-12-18,Drake,9.8,0.5661565978644678,True
2025-12-18,Louisiana,10.8,0.5660137766575519,True
2025-12-18,American,20.6,0.5652017022062027,False
2025-12-18,Radford,19.1,0.6010707236415906,True
2025-12-18,Southern Utah,7.5,0.5614906145625682,False
2025-12-18,Little Rock,2.4,0.5388207305303028,True
2025-12-18,Georgia St.,12.7,0.6075081895285629,False
2025-12-18,Southeast Missouri St.,-1.6,0.6014947509270132,False
2025-12-18,Manhattan,5.1,0.555335927523724,False
2025-12-19,Dartmouth,0.4,0.5359796808376478,False
2025-12-19,La Salle,17.8,0.5388751279360031,True
2025-12-19,Jackson St.,2.6,0.5461668450115986,False
2025-12-19,Cal Poly,25.5,0.535819492160539,True
2025-12-19,Florida Atlantic,13.4,0.5418745394454729,True
2025-12-19,Seton Hall,-0.7,0.6010718933614534,True
